date,time,lat,lon,depth,mag
2010/02/27, 06:34:11.53,-36.122,-72.898,22.9,8.8
2010/02/27, 08:01:23.01,-37.773,-75.048,35,7.4
2010/03/11, 14:55:27.51,-34.326,-71.799,18,7
2010/04/04, 22:40:42.36,32.2862,-115.2953,10,7.2
2010/04/06, 22:15:01.58,2.383,97.048,31,7.8
2010/05/09, 05:59:41.62,3.748,96.018,38,7.2
2010/05/27, 17:14:46.57,-13.698,166.643,31,7.2
2010/06/12, 19:26:50.46,7.881,91.936,35,7.5
2010/06/16, 03:16:27.55,-2.174,136.543,18,7
2010/07/18, 13:34:59.36,-5.931,150.59,35,7.4
2010/07/23, 22:08:11.25,6.718,123.409,607.1,7.3
2010/07/23, 22:51:11.84,6.497,123.48,578,7.6
2010/07/23, 23:15:10.19,6.776,123.259,640.6,7.5
2010/08/04, 22:01:43.62,-5.746,150.765,44,7
2010/08/10, 05:23:44.98,-17.541,168.069,25,7.3
2010/08/12, 11:54:15.58,-1.266,-77.306,206.7,7.1
2010/09/03, 16:35:47.77,-43.522,171.83,12,7
2010/09/29, 17:11:25.94,-4.963,133.76,26,7
2010/10/25, 14:42:22.46,-3.487,100.082,20.1,7.8
2010/12/21, 17:19:40.66,26.901,143.698,14,7.4
2010/12/25, 13:16:37.00,-19.702,167.947,16,7.3
2011/01/01, 09:56:58.12,-26.803,-63.136,576.8,7
2011/01/02, 20:20:17.78,-38.355,-73.326,24,7.2
2011/01/13, 16:16:41.54,-20.628,168.471,9,7
2011/01/18, 20:23:23.48,28.777,63.951,68,7.2
2011/03/09, 02:45:20.33,38.435,142.842,32,7.5
2011/03/11, 05:46:24.12,38.297,142.373,29,9.1
2011/03/11, 06:15:40.28,36.281,141.111,42.6,7.9
2011/03/11, 06:25:50.30,38.058,144.59,18.6,7.7
2011/04/07, 14:32:43.29,38.276,141.588,42,7.1
2011/06/24, 03:09:39.47,52.05,-171.836,52,7.3
2011/07/06, 19:03:18.26,-29.539,-176.34,17,7.6
2011/07/10, 00:57:10.80,38.034,143.264,23,7
2011/08/20, 16:55:02.81,-18.365,168.143,32,7.1
2011/08/20, 18:19:23.55,-18.311,168.218,28,7.1
2011/08/24, 17:46:11.65,-7.641,-74.525,147,7
2011/09/03, 22:55:40.92,-20.671,169.716,185.1,7
2011/09/15, 19:31:04.08,-21.611,-179.528,644.6,7.3
2011/10/21, 17:57:16.10,-28.993,-176.238,33,7.4
2011/10/23, 10:41:22.93,38.722,43.513,16,7.3
2011/12/14, 05:04:59.27,-7.561,146.804,140.9,7.1
2012/01/10, 18:36:59.08,2.433,93.21,19,7.2
2012/02/02, 13:34:40.65,-17.827,167.133,23,7.1
2012/03/14, 09:08:35.14,40.887,144.944,12,7
2012/03/20, 18:02:47.44,16.493,-98.231,20,7.4
2012/03/25, 22:37:06.00,-35.2,-72.217,40.7,7.1
2012/04/11, 08:38:36.72,2.327,93.063,20,8.6
2012/04/11, 10:43:10.85,0.802,92.463,25.1,8.2
2012/04/12, 07:15:48.50,28.696,-113.104,13,7
2012/08/14, 02:59:38.46,49.8,145.064,583.2,7.7
2012/08/27, 04:37:19.43,12.139,-88.59,28,7.4
2012/08/31, 12:47:33.38,10.811,126.638,28,7.6
2012/09/05, 14:42:07.88,10.099,-85.308,35,7.6
2012/09/30, 16:31:35.97,1.929,-76.362,170,7.3
2012/10/28, 03:04:08.82,52.788,-132.101,14,7.8
2012/10/28, 03:07:30.00,52.769,-131.927,5,7.7
2012/11/07, 16:35:46.69,13.963,-91.854,24,7.4
2012/12/07, 08:18:23.13,37.89,143.949,31,7.3
2012/12/10, 16:53:08.77,-6.533,129.825,155,7.1
2013/01/05, 08:58:19.33,55.394,-134.65,10,7.5
2013/02/06, 01:12:27.00,-10.738,165.138,28.7,8
2013/02/06, 01:23:19.77,-11.2541,164.9323,10.14,7.1
2013/02/06, 01:54:15.20,-10.479,165.772,9.8,7
2013/02/08, 15:26:38.50,-10.932,166.021,21,7.1
2013/04/06, 04:42:35.70,-3.513,138.477,66,7
2013/04/16, 10:44:20.70,28.107,62.053,82,7.7
2013/04/19, 03:05:52.80,46.224,150.783,112.2,7.2
2013/05/23, 17:19:04.00,-23.025,-177.109,171.4,7.4
2013/05/24, 05:44:49.60,54.874,153.281,608.9,8.3
2013/07/07, 18:35:30.80,-3.9234,153.9204,386.25,7.3
2013/07/15, 14:03:43.05,-60.8679,-25.1436,30.98,7.3
2013/08/30, 16:25:02.77,51.6096,-175.3611,33.53,7
2013/09/24, 11:29:47.98,26.9708,65.5198,15,7.7
2013/09/25, 16:42:43.14,-15.8389,-74.5094,40,7.1
2013/10/15, 00:12:32.55,9.8901,124.1071,22.76,7.1
2013/10/25, 17:10:18.43,37.1713,144.6781,25.67,7.1
2013/11/17, 09:04:55.53,-60.2738,-46.4011,10,7.7
2013/11/25, 06:27:33.99,-53.8813,-54.8821,10,7
2014/04/01, 23:46:47.24,-19.6097,-70.7765,25,8.2
2014/04/03, 02:43:14.78,-20.57,-70.4711,35,7.7
2014/04/11, 07:07:22.57,-6.5774,155.051,55.78,7.1
2014/04/12, 20:14:39.30,-11.2701,162.1481,22.56,7.6
2014/04/13, 12:36:19.20,-11.4782,162.0037,38.4,7.4
2014/04/18, 14:27:24.99,17.4007,-100.963,24,7.2
2014/04/19, 13:27:59.50,-6.7203,154.9315,30.87,7.5
2014/06/23, 20:53:09.70,51.8486,178.7352,109,7.9
2014/10/09, 02:14:31.44,-32.1082,-110.8112,16.54,7
2014/10/14, 03:51:34.46,12.5262,-88.1225,40,7.3
2014/11/01, 18:57:22.38,-19.6903,-177.7587,434,7.1
2014/11/15, 02:31:41.72,1.8929,126.5217,45,7.1
2015/02/13, 18:59:12.23,52.6487,-31.9016,16.68,7.1
2015/02/27, 13:45:05.25,-7.3017,122.5348,550.73,7
2015/03/29, 23:48:31.02,-4.7363,152.5576,41,7.5
2015/04/25, 06:11:26.27,28.1473,84.7079,15,7.8
2015/05/05, 01:44:05.21,-5.465,151.8857,42,7.5
2015/05/07, 07:10:22.00,-7.2255,154.5511,23.18,7.1
2015/05/12, 07:05:19.03,27.8368,86.0772,15,7.3
